objectid, id, Name, Status, BldSz_Orig, BldSz_Curr, Has_Cave, CaveSize, Prod_Orig, Prod_Curr, Tour_Tastg, Visit_Day, Visit_Week, Visit_Yr, Visit_Mktg, Visit_NmEv, Visit_ALL, EmplyeeNum, ParkingNum, WDO, Last_UP, In_CityBdy, In_AIASP, Notes, SmlWnryExm, Apprv_date, Estab_date, Total_Size, Subj_to_75, GPY_at_75, AVA, SUP_dist
11, 235, SUMMIT LAKE VINEYARDS, PROD, 2500, 2500, null, 0, 3000, 12000, TST APPT, 0, 0, 0, 0, 0, 0, 2, 4, x, null, null, null, null, x, 03/01/1984, 09/01/1985, 2500, null, 0, Howell Mountain, 3
12, 10, ARROYO WINERY, PROD, 710, 9586, null, 0, 10000, 20000, APPT, 13, 90, 4700, 280, 2, 4980, 2, 6, x, P13-00259-VMM, null, null, null, null, 11/01/1982, 12/01/1982, 9586, x, 10000, Calistoga, 3
13, 115, OUTPOST WINES, PROD, 1548, 9155, null, 0, 1800, 50000, APPT, 30, 180, 9360, 325, 9, 9685, 10, 0, x, P13-00141-MOD, null, null, null, null, 03/01/1987, 09/01/1988, 9155, x, 50000, Howell Mountain, 3
14, 68, DUNN VINEYARDS, PROD, 1200, 2050, x, 6000, 5000, 20000, APPT, 0, 5, 260, 0, 0, 260, 5, 5, x, P12-00199, null, null, null, null, 03/01/1982, 12/01/1982, 8050, x, 15000, Howell Mountain, 3
15, 189, VILLA ANDRIANA/SUMMERS WINERY, PROD, 570, 9068, null, 0, 20000, 50000, APPT, 12, 70, 3640, 240, 8, 3880, 3, 20, x, 03075-MOD, null, null, null, null, 11/02/1983, 09/01/1984, 9068, x, 30000, Calistoga, 3
16, 242, ZAHTILA VINEYARDS, PROD, 600, 600, null, 0, 5000, 5000, APPT, 0, 0, 0, 0, 0, 0, 0, 1, x, U-467980, null, null, null, null, 06/01/1980, 12/01/1980, 600, null, 0, Calistoga, 3
17, 99, ARAUJO ESTATES WINES, PROD, 1460, 8703, x, 9700, 20000, 20000, APPT, 18, 126, 6552, 573, 15, 7125, 13, 11, x, P12-00412-MOD, null, null, null, null, 07/01/1988, 09/01/1992, 18403, x, 20000, Calistoga, 3
18, 88, THEOREM WINERY, PEND, 2208, 23925, null, 0, 20000, 20000, APPT, 15, 105, 5460, 220, 4, 5680, 5, 15, x, P13-00019-MOD, null, null, null, null, 01/01/1985, 12/01/1985, 23925, x, 20000, Diamond Mountain District, 3
19, 51, CUVAISON, PROD, 12000, 20002, x, 25000, 45000, 155048, PUB, 300, 600, 31200, 45625, 730, 76825, 15, 43, x, null, null, null, null, null, 09/01/1959, 09/01/1970, 45002, null, 0, Calistoga, 3
20, 69, DUTCH HENRY WINERY, PROD, 2600, 2600, x, 4500, 20000, 20000, PUB, 10, 50, 2600, 0, 0, 2600, 13, 10, x, 040338MOD, null, null, null, null, 01/18/1984, 05/01/1984, 7100, null, 0, Calistoga, 3
